Country,rank,StockCode,Product_Description,Total_Quantity_Sold
Japan,6,22533,MAGIC SLATE BAKE A CAKE,769
Japan,7,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,577
Japan,8,22536,MAGIC SLATE FIDO,577
Japan,9,22531,MAGIC SLATE CIRCUS PARADE,577
Japan,10,22534,MAGIC SLATE SPACEBOY,577
Korea,1,85118,HEART T-LIGHT HOLDER,48
Korea,2,85175,CACTI T-LIGHT CANDLES,48
Korea,3,21201,TROPICAL  HONEYCOMB PAPER GARLAND,48
Korea,4,22492,MINI PAINT SET VINTAGE  BOY+ GIRL,36
Korea,5,21369,MIRRORED WALL ART SPLODGES,24
Korea,6,22812,PACK 3 BOXES CHRISTMAS PANNETONE,24
Korea,7,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,24
Korea,8,21371,MIRRORED WALL ART POPPIES,24
Korea,9,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,24
Korea,10,20668,DISCO BALL CHRISTMAS DECORATION,24
Lebanon,1,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24
Lebanon,2,47566,PARTY BUNTING,15
Lebanon,3,22241,GARLAND WOODEN HAPPY EASTER,12
Lebanon,4,22722,SET OF 6 SPICE TINS PANTRY DESIGN,12
Lebanon,5,82551,LAUNDRY 15C METAL SIGN,12
Lebanon,6,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12
Lebanon,7,22922,FRIDGE MAGNETS US DINER ASSORTED,12
Lebanon,8,22588,CARDHOLDER GINGHAM HEART,12
Lebanon,9,21165,BEWARE OF THE CAT METAL SIGN,12
Lebanon,10,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,12
Lithuania,1,22306,SILVER MUG BONE CHINA TREE OF LIFE,72
Lithuania,2,22307,GOLD MUG BONE CHINA TREE OF LIFE,72
Lithuania,3,22271,FELTCRAFT DOLL ROSIE,60
Lithuania,4,85114B,IVORY ENCHANTED FOREST PLACEMAT,60
Lithuania,5,21914,BLUE HARMONICA IN BOX,60
Lithuania,6,21915,RED  HARMONICA IN BOX,48
Lithuania,7,21429,RED GINGHAM ROSE JEWELLERY BOX,48
Lithuania,8,85226A,WHITE/BLUE PULL BACK RACING CAR,48
Lithuania,9,22750,FELTCRAFT PRINCESS LOLA DOLL,48
Lithuania,10,85227,SET/6 3D KIT CARDS FOR KIDS,48
Malta,1,72741,GRAND CHOCOLATECANDLE,153
Malta,2,85178,VICTORIAN SEWING KIT,144
Malta,3,21790,VINTAGE SNAP CARDS,72
Malta,4,22065,CHRISTMAS PUDDING TRINKET POT,60
Malta,5,22307,GOLD MUG BONE CHINA TREE OF LIFE,30
Malta,6,22048,BIRTHDAY BANQUET GIFT WRAP,25
Malta,7,22046,TEA PARTY  WRAPPING PAPER,25
Malta,8,22959,"WRAPPING PAPER, XMAS VILLAGE",25
Malta,9,23228,FILIGREE HEART BIRD WHITE,24
Malta,10,22030,SWALLOWS GREETING CARD,24
Netherlands,1,35961,FOLKART ZINC HEART CHRISTMAS DEC,6697
Netherlands,2,22630,DOLLY GIRL LUNCH BOX,6522
Netherlands,3,22629,SPACEBOY LUNCH BOX,6460
Netherlands,4,21731,RED TOADSTOOL LED NIGHT LIGHT,6154
Netherlands,5,21212,PACK OF 72 RETROSPOT CAKE CASES,6096
Netherlands,6,22326,ROUND SNACK BOXES SET OF4 WOODLAND,5210
Netherlands,7,23084,RABBIT NIGHT LIGHT,4801
Netherlands,8,22243,"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",4669
Netherlands,9,85099B,RED RETROSPOT JUMBO BAG,4460
Netherlands,10,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4270
Nigeria,1,16156S,WRAP PINK FAIRY CAKES,25
Nigeria,2,22047,EMPIRE GIFT WRAP,25
Nigeria,3,84991,60 TEATIME FAIRY CAKE CASES,24
Nigeria,4,22584,PACK OF 6 PANNETONE GIFT BOXES,2
Nigeria,5,22582,PACK OF 6 SWEETIE GIFT BOXES,2
Nigeria,6,22491,PACK OF 12 COLOURED PENCILS,1
Nigeria,7,22620,4 TRADITIONAL SPINNING TOPS,1
Nigeria,8,21156,RETROSPOT CHILDRENS APRON,1
Nigeria,9,21034,REX CASH+CARRY JUMBO SHOPPER,1
Nigeria,10,22550,HOLIDAY FUN LUDO,1
Norway,1,16008,SMALL FOLDING SCISSOR(POINTED EDGE),576
Norway,2,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,504
Norway,3,22197,SMALL POPCORN HOLDER,492
Norway,4,72232,FENG SHUI PILLAR CANDLE,384
Norway,5,84050,PINK HEART SHAPE EGG FRYING PAN,302
Norway,6,21212,PACK OF 72 RETROSPOT CAKE CASES,264
Norway,7,21977,PACK OF 60 PINK PAISLEY CAKE CASES,264
Norway,8,21213,PACK OF 72 SKULL CAKE CASES,240
Norway,9,84991,60 TEATIME FAIRY CAKE CASES,216
Norway,10,23167,SMALL CERAMIC TOP STORAGE JAR,204
Poland,1,21232,STRAWBERRY CERAMIC TRINKET POT,264
Poland,2,37448,CERAMIC CAKE DESIGN SPOTTED MUG,180
Poland,3,22059,CERAMIC STRWBERRY DESIGN MUG,144
Poland,4,16016,LARGE CHINESE STYLE SCISSOR,120
Poland,5,22961,JAM MAKING SET PRINTED,108
Poland,6,16014,SMALL CHINESE STYLE SCISSOR,100
Poland,7,22057,CERAMIC PLATE STRAWBERRY DESIGN,84
Poland,8,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,84
Poland,9,22195,LARGE HEART MEASURING SPOONS,84
Poland,10,85028S,FRENCH CHATEAU SMALL FRUITBOWL,72
Portugal,1,20725,LUNCH BAG RED SPOTTY,475
Portugal,2,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,330
Portugal,3,20728,LUNCH BAG CARS BLUE,311
Portugal,4,20724,RED SPOTTY CHARLOTTE BAG,304
Portugal,5,22383,LUNCHBAG SUKI  DESIGN,303
Portugal,6,21212,PACK OF 72 RETROSPOT CAKE CASES,290
Portugal,7,21928,JUMBO BAG SCANDINAVIAN PAISLEY,290
Portugal,8,84991,60 TEATIME FAIRY CAKE CASES,290
Portugal,9,21498,RED SPOTS  WRAP,275
Portugal,10,85099B,RED RETROSPOT JUMBO BAG,260
RSA,1,21243,PINK POLKADOT PLATE,112
RSA,2,21239,PINK  SPOTTY CUP,104
RSA,3,20677,PINK SPOTTY BOWL,104
RSA,4,21244,BLUE POLKADOT PLATE,88
RSA,5,21240,BLUE POLKADOT CUP,88
RSA,6,22384,LUNCHBAG PINK RETROSPOT,80
RSA,7,20675,BLUE SPOTTY BOWL,80
RSA,8,21242,RED SPOTTY PLATE,72
RSA,9,21238,RED SPOTTY CUP,72
RSA,10,20676,RED SPOTTY BOWL,64
Saudi Arabia,1,22969,HOMEMADE JAM SCENTED CANDLES,12
Saudi Arabia,2,22915,ASSORTED BOTTLE TOP  MAGNETS,12
Saudi Arabia,3,22556,PLASTERS IN TIN CIRCUS PARADE,12
Saudi Arabia,4,22553,PLASTERS IN TIN SKULLS,12
Saudi Arabia,5,22555,PLASTERS IN TIN STRONGMAN,12
Saudi Arabia,6,22361,GLASS JAR DAISY FRESH COTTON WOOL,6
Saudi Arabia,7,22362,GLASS JAR PEACOCK BATH SALTS,6
Saudi Arabia,8,22363,GLASS JAR MARMALADE,6
Saudi Arabia,9,20781,GOLD EAR MUFF HEADPHONES,2
Singapore,1,22339,CHRISTMAS TREE PAINTED ZINC,384
Singapore,2,22197,SMALL POPCORN HOLDER,312
Singapore,3,22343,PARTY PIZZA DISH RED+WHITE SPOT,240
Singapore,4,21519,GIN & TONIC DIET GREETING CARD,156
Singapore,5,85123A,WHITE HANGING HEART T-LIGHT HOLDER,146
Singapore,6,72741,GRAND CHOCOLATECANDLE,144
Singapore,7,21790,VINTAGE SNAP CARDS,120
Singapore,8,22336,DOVE DECORATION PAINTED ZINC,118
Singapore,9,22348,TEA BAG PLATE RED SPOTTY,96
Singapore,10,22346,PARTY PIZZA DISH GREEN+WHITE SPOT,96
Spain,1,22670,FRENCH WC SIGN BLUE METAL,1788
Spain,2,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1737
Spain,3,22341,LOVE GARLAND PAINTED ZINC,1728
Spain,4,84997C,CHILDRENS CUTLERY POLKADOT BLUE,1661
Spain,5,84879,ASSORTED COLOUR BIRD ORNAMENT,1009
Spain,6,21380,WOODEN HAPPY BIRTHDAY GARLAND,882
Spain,7,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,864
Spain,8,20728,LUNCH BAG CARS BLUE,614
Spain,9,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,576
Spain,10,84760L,LARGE HANGING GLASS+ZINC LANTERN,560
Sweden,1,16033,MINI HIGHLIGHTER PENS,5760
Sweden,2,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,4368
Sweden,3,22492,MINI PAINT SET VINTAGE  BOY+ GIRL,4248
Sweden,4,84991,60 TEATIME FAIRY CAKE CASES,3024
Sweden,5,21212,PACK OF 72 RETROSPOT CAKE CASES,2784
Sweden,6,22417,PACK OF 60 SPACEBOY CAKE CASES,2520
Sweden,7,22530,MAGIC SLATE DOLLY GIRL,1968
Sweden,8,20975,12 PENCILS SMALL TUBE RED SPOTTY,1944
Sweden,9,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1776
Sweden,10,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1572
Switzerland,1,22554,PLASTERS IN TIN WOODLAND ANIMALS,879
Switzerland,2,22326,ROUND SNACK BOXES SET OF4 WOODLAND,732
Switzerland,3,22551,PLASTERS IN TIN SPACEBOY,672
Switzerland,4,21212,PACK OF 72 RETROSPOT CAKE CASES,624
Switzerland,5,84568,GIRLS ALPHABET IRON ON PATCHES,576
Switzerland,6,20719,WOODLAND CHARLOTTE BAG,570
Switzerland,7,20676,RED SPOTTY BOWL,488
Switzerland,8,22632,HAND WARMER RED RETROSPOT,468
Switzerland,9,21680,WOODLAND  STICKERS,408
Switzerland,10,22556,PLASTERS IN TIN CIRCUS PARADE,396
Thailand,1,85017A,ENVELOPE 50 ROMANTIC IMAGES,288
Thailand,2,85017B,ENVELOPE 50 BLOSSOM IMAGES,288
Thailand,3,85017C,ENVELOPE 50 CURIOUS IMAGES,288
Thailand,4,21700,BIG DOUGHNUT FRIDGE MAGNETS,240
Thailand,5,85216,ASSORTED CAKES FRIDGE MAGNETS,240
Thailand,6,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,192
Thailand,7,21429,RED GINGHAM ROSE JEWELLERY BOX,192
Thailand,8,22495,SET OF 2 ROUND TINS CAMEMBERT,108
Thailand,9,22497,SET OF 2 TINS VINTAGE BATHROOM,96
Thailand,10,22494,EMERGENCY FIRST AID TIN,96
USA,1,21355,TOAST ITS - I LOVE YOU,408
USA,2,21122,SET/10 PINK SPOTTY PARTY CANDLES,152
USA,3,21124,SET/10 BLUE SPOTTY PARTY CANDLES,150
USA,4,21212,PACK OF 72 RETROSPOT CAKE CASES,144
USA,5,21123,SET/10 IVORY SPOTTY PARTY CANDLES,120
USA,6,21121,SET/10 RED SPOTTY PARTY CANDLES,120
USA,7,21210,SET OF 72 RETROSPOT PAPER  DOILIES,97
USA,8,21213,PACK OF 72 SKULL CAKE CASES,96
USA,9,21976,PACK OF 60 MUSHROOM CAKE CASES,96
USA,10,23366,SET 12 COLOURING PENCILS DOILY,88
United Arab Emirates,1,84568,GIRLS ALPHABET IRON ON PATCHES,288
United Arab Emirates,2,84598,BOYS ALPHABET IRON ON PATCHES,288
United Arab Emirates,3,21700,BIG DOUGHNUT FRIDGE MAGNETS,192
United Arab Emirates,4,21985,PACK OF 12 HEARTS DESIGN TISSUES,192
United Arab Emirates,5,85215,ASSORTED CHEESE FRIDGE MAGNETS,168
United Arab Emirates,6,21098,CHRISTMAS TOILET ROLL,144
United Arab Emirates,7,85072,OCCASIONS GIFT CARD ASSORTMENT,120
United Arab Emirates,8,22733,3D TRADITIONAL CHRISTMAS STICKERS,100
United Arab Emirates,9,22065,CHRISTMAS PUDDING TRINKET POT,96
United Arab Emirates,10,22294,HEART FILIGREE DOVE  SMALL,72
United Kingdom,1,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,97354
United Kingdom,2,85099B,RED RETROSPOT JUMBO BAG,88013
United Kingdom,3,85123A,WHITE HANGING HEART T-LIGHT HOLDER,87045
United Kingdom,4,22197,SMALL POPCORN HOLDER,82472
United Kingdom,5,23843,"PAPER CRAFT , LITTLE BIRDIE",80995
United Kingdom,6,23166,MEDIUM CERAMIC TOP STORAGE JAR,77036
United Kingdom,7,84879,ASSORTED COLOUR BIRD ORNAMENT,74286
United Kingdom,8,21212,PACK OF 72 RETROSPOT CAKE CASES,70953
United Kingdom,9,17003,BROCADE RING PURSE,69965
United Kingdom,10,21977,PACK OF 60 PINK PAISLEY CAKE CASES,45930
Unspecified,1,84991,60 TEATIME FAIRY CAKE CASES,146
Unspecified,2,16033,MINI HIGHLIGHTER PENS,120
Unspecified,3,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96
Unspecified,4,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,82
Unspecified,5,21977,PACK OF 60 PINK PAISLEY CAKE CASES,74
Unspecified,6,84992,72 SWEETHEART FAIRY CAKE CASES,72
Unspecified,7,21212,PACK OF 72 RETROSPOT CAKE CASES,61
Unspecified,8,40001,WHITE BAMBOO RIBS LAMPSHADE,60
Unspecified,9,84050,PINK HEART SHAPE EGG FRYING PAN,55
Unspecified,10,22707,WRAP MONSTER FUN,50
West Indies,1,17003,BROCADE RING PURSE,36
West Indies,2,17084J,LOVE POTION MASALA INCENSE,25
West Indies,3,17096,ASSORTED LAQUERED INCENSE HOLDERS,24
West Indies,4,22444,GROW YOUR OWN PLANT IN A CAN,24
West Indies,5,20886,BOX OF 9 PEBBLE CANDLES,24
West Indies,6,72708,SCULPTED ROUND IVORY CANDLE,21
West Indies,7,16225,RATTLE SNAKE EGGS,14
West Indies,8,84206A,3 BLACK CATS W HEARTS BLANK CARD,13
West Indies,9,22025,RING OF ROSES BIRTHDAY CARD,12
West Indies,10,21645,ASSORTED TUTTI FRUTTI ROUND BOX,12
